toll,income_segment,Potential_INEXUS_in_dollar_2023,Realized_INEXUS_in_dollar_2023,alpha,duration_carmodes,duration_door_to_door,incomeInThousands,logsum_trip_Potential_INEXUS,potential_in_dollar_2023_relative_to_baseline,realized_in_dollar_2023_relative_to_baseline,trip_count,value_of_time
baseline,High,-2.2098460455841007,-236.65986746420816,0.003,428.1909716908952,1698.874861854969,258.5188339029159,-0.5183142298929134,0.0,0.0,58815,12.232351813329027
baseline,Low,-2.602220499859884,-208.08745410759084,0.0029999999999999996,414.9617414756309,1838.0854555962242,69.26592660373724,-0.6149153153928243,0.0,0.0,25955,9.876324608689568
baseline,Middle,-2.3999333398588885,-236.64670108796673,0.0029999999999999996,454.10996233660734,1857.0415035817148,133.44435942692564,-0.5552813542508425,0.0,0.0,13541,12.407481538204426
baseline,Moderate,-2.454133454558706,-238.13814277573746,0.003,443.30068349535713,1822.1134711216405,102.32384138006155,-0.5859380634946784,0.0,0.0,36723,11.430206479981114
baseline,Very Low,-2.4585778939748737,-98.47601189704243,0.003,291.003152259119,1535.2823189952799,28.999892122687925,-0.6006260105960227,0.0,0.0,59957,7.255529628759715
flat,High,-2.8403833203610986,-183.92436291728202,0.003,350.5721757714371,1860.3799820029246,257.5726107944959,-0.5866139037248655,-0.3171607111281404,65.36152467597448,53342,12.564713550467102
flat,Low,-3.251787667177271,-156.2568833486224,0.003,320.7101214928765,2005.0297176820209,69.10500402062758,-0.6799263047141546,-0.26953110275359127,70.90795783819749,22882,10.144082651244602
flat,Middle,-2.9480414211769714,-166.44964293367255,0.0029999999999999996,369.60899227354923,1984.7887555482491,133.0046726943942,-0.62540524562103,-0.32496007613946865,75.6823728619818,12166,12.706596072578298
flat,Moderate,-3.129963062392808,-182.6996241214125,0.003,353.76455937519216,2016.9631941455016,102.23509495111001,-0.6485753583887758,-0.27195188211110327,61.54025620608169,32522,11.770393897375515
flat,Very Low,-2.9533083881943165,-72.92559171838079,0.003,209.0279791189394,1631.2556991024148,28.824455120742105,-0.693626807342562,-0.5069127475638305,23.09677600942546,53254,7.362136376737888
income-based,High,-2.843681604743849,-184.438219549317,0.0029999999999999996,375.1210685936798,1882.8448592182117,258.1621092930957,-0.5885126168672205,-0.32715740907876956,59.618377514463866,53416,12.598517807112218
income-based,Low,-3.081617189137289,-160.97035545917316,0.003,362.146283683743,1979.1066457971995,69.05142662549177,-0.6677024266200009,-0.22180800420901567,57.646088651267355,23639,10.157385820330822
income-based,Middle,-2.901156696875761,-178.2497329510408,0.0029999999999999996,394.41419676214196,1980.2865919468659,133.0167886259859,-0.6160677987216311,-0.2699981110930905,61.87653845421629,12045,12.701246474991867
income-based,Moderate,-3.067105637520725,-185.09181558862608,0.003,388.08039560706266,2028.4970268794368,102.2624664462108,-0.6415969183447483,-0.260531649032551,55.616648294731554,32962,11.77276098536867
income-based,Very Low,-2.8024179071076656,-68.72403361350705,0.003,292.3986565323199,1632.523802380238,28.228087208720872,-0.6183956589198711,-0.08671635984897308,23.07082814450205,59994,7.080971815072722
